countryCode	countryName	regionCode	regionName	regionTypeName	source	totalArea	totalPopulation	totalPopulationDensity	url
GBR	United Kingdom	K02000001	UNITED KINGDOM	country	Office for National Statistics	243269	65110034	268	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	K03000001	GREAT BRITAIN	country	Office for National Statistics	228954	63258413	276	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	K04000001	ENGLAND AND WALES	country	Office for National Statistics	151044	57885413	383	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E92000001	ENGLAND	country	Office for National Statistics	130308	54786327	420	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E12000001	NORTH EAST	English region	Office for National Statistics	8574	2624621	306	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000047	County Durham	unitary authority	Office for National Statistics	2226	519695	233	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000005	Darlington	unitary authority	Office for National Statistics	197	105389	535	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000001	Hartlepool	unitary authority	Office for National Statistics	94	92493	984	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000002	Middlesbrough	unitary authority	Office for National Statistics	54	139509	2584	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000057	Northumberland	unitary authority	Office for National Statistics	5014	315263	63	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
